audio,place,grade,audio_data_err,audio_num,image_data_err,image_num
snoring,bedroom,8.73,0%,40,0.50%,5000.0
toilet_flush,bathroom,8.19,0%,40,0.50%,5000.0
rooster,village,8.02,0%,40,1.50%,5000.0
pig,corral,8.89,0%,40,0.00%,5000.0
laughing,movie_theater-indoor,8.36,0%,40,0.50%,5000.0
siren,street,7.21,0%,40,0.50%,5000.0
cat,pet_shop,7.43,0%,40,1.00%,4988.0
insects,swamp,7.12,0%,40,1.00%,5000.0
door_wood_creaks,basement,6.89,0%,40,1.00%,5000.0
frog,fishpond,7.93,0%,40,0.50%,5000.0
train,subway_station-platform,7.98,0%,40,1.00%,5000.0
helicopter,airfield,8.97,0%,40,0.50%,5000.0
washing_machine,laundromat,7.82,0%,40,1.00%,5000.0
crow,field-wild,7.03,0%,40,2.50%,5000.0
fireworks,sky,7.12,0%,40,1.50%,5000.0
crickets,field-wild,7.91,0%,40,2.50%,5000.0
glass_breaking,dining_room,6.21,0%,40,2.00%,5000.0
wind,desert-sand,7.34,0%,40,1.00%,5000.0
church_bells,village,6.12,0%,40,1.50%,5000.0
can_opening,dining_room,6.98,0%,40,2.00%,5000.0
chainsaw,forest-broadleaf,7.86,0%,40,1.50%,5000.0
vacuum_cleaner,bedroom,6.73,0%,40,0.50%,5000.0
clapping,movie_theater-indoor,7.12,0%,40,0.50%,5000.0
car_horn,highway,7.56,0%,40,0.50%,5000.0
breathing,bedroom,8.36,0%,40,0.50%,5000.0
clock_tick,library-indoor,6.89,0%,40,0.50%,5000.0
dog,park,7.62,0%,40,0.50%,5000.0
cow,barn,8.89,0%,40,0.50%,5000.0
engine,garage-indoor,7.93,0%,40,0.00%,5000.0
rain,field-cultivated,7.12,0%,40,1.50%,5000.0
chirping_birds,park,8.89,0%,40,0.50%,5000.0
mouse_click,computer_room,8.67,0%,40,0.50%,3619.0
wind,cliff,7.91,0%,40,0.00%,5000.0
door_wood_knock,apartment_building-outdoor,7.89,0%,40,0.50%,5000.0
brushing_teeth,hotel_room,5.67,0%,40,0.50%,5000.0
footsteps,staircase,7.89,0%,40,0.00%,5000.0
sneezing,bedroom,4.78,0%,40,0.50%,5000.0
frog,village,6.21,0%,40,1.50%,5000.0
laughing,recreation_room,8.73,0%,40,0.00%,5000.0
thunderstorm,sky,6.89,0%,40,1.50%,5000.0
sea_waves,beach,8.67,0%,40,0.00%,5000.0
keyboard_typing,office,8.73,0%,40,0.50%,5000.0
crying_baby,residential_neighborhood,8.21,0%,40,0.50%,5000.0
chirping_birds,greenhouse-outdoor,7.93,0%,40,0.50%,4939.0
water_drops,kitchen,8.73,0%,40,0.00%,5000.0
airplane,airfield,8.97,0%,40,0.50%,5000.0
footsteps,boardwalk,8.21,0%,40,0.00%,5000.0
crying_baby,childs_room,8.67,0%,40,0.50%,5000.0
engine,engine_room,8.89,0%,40,0.00%,5000.0
coughing,pharmacy,8.73,0%,40,0.50%,5000.0
wind,wind_farm,8.67,0%,40,0.50%,5000.0
dog,kennel-outdoor,8.73,0%,40,0.50%,5000.0
vacuum_cleaner,living_room,8.21,0%,40,0.00%,5000.0
thunderstorm,field-wild,5.43,0%,40,2.50%,5000.0
door_wood_knock,doorway-outdoor,8.73,0%,40,0.50%,5000.0
can_opening,kitchen,8.67,0%,40,0.00%,5000.0
crow,forest_path,8.21,0%,40,0.00%,5000.0
clapping,auditorium,8.73,0%,40,0.50%,5000.0
fireworks,plaza,5.67,0%,40,0.50%,5000.0
chainsaw,forest_road,8.21,0%,40,0.00%,5000.0
mouse_click,office,8.73,0%,40,0.50%,5000.0
pouring_water,kitchen,8.73,0%,40,0.00%,5000.0
train,train_station-platform,8.97,0%,40,0.50%,5000.0
sheep,pasture,8.21,0%,40,0.50%,5000.0
church_bells,church-outdoor,9.21,0%,40,0.50%,5000.0
clock_alarm,bedroom,8.73,0%,40,0.50%,5000.0
frog,pond,8.21,0%,40,0.50%,5000.0
cow,field-cultivated,7.89,0%,40,1.50%,5000.0
brushing_teeth,bathroom,8.73,0%,40,0.50%,5000.0
car_horn,street,8.21,0%,40,0.50%,5000.0
crackling_fire,living_room,7.34,0%,40,0.00%,5000.0
helicopter,heliport,9.12,0%,40,0.00%,5000.0
drinking_sipping,dining_room,7.12,0%,40,2.00%,5000.0
rain,rainforest,8.73,0%,40,0.50%,5000.0
insects,forest-broadleaf,7.89,0%,40,1.50%,5000.0
laughing,library-indoor,5.01,0%,40,0.50%,5000.0
hen,barn,8.73,0%,40,0.50%,5000.0
breathing,hospital_room,7.56,0%,40,2.00%,5000.0
hand_saw,shed,6.34,0%,40,0.00%,5000.0
clock_tick,living_room,7.12,0%,40,0.00%,5000.0
washing_machine,utility_room,7.56,0%,40,0.00%,5000.0
glass_breaking,kitchen,5.12,0%,40,0.00%,5000.0
pig,field-cultivated,5.89,0%,40,1.50%,5000.0
sneezing,hospital_room,7.56,0%,40,2.00%,5000.0
cat,living_room,4.89,0%,40,0.00%,5000.0
rooster,farm,7.98,0%,40,0.50%,5000.0
crickets,field-wild,7.91,0%,40,2.50%,5000.0
siren,fire_station,8.89,0%,40,0.50%,5000.0
door_wood_creaks,attic,7.98,0%,40,0.00%,5000.0
crying_baby,nursery,7.89,0%,40,0.50%,5000.0
chirping_birds,forest-broadleaf,8.73,0%,40,1.50%,5000.0
water_drops,bathroom,8.73,0%,40,0.50%,5000.0
footsteps,corridor,8.73,0%,40,0.50%,5000.0
engine,auto_factory,8.67,0%,40,0.50%,5000.0
coughing,hospital_room,8.89,0%,40,2.00%,5000.0
wind,mountain,7.98,0%,40,0.50%,5000.0
sea_waves,coast,8.97,0%,40,0.50%,5000.0
keyboard_typing,computer_room,9.12,0%,40,0.50%,3619.0
crying_baby,hospital_room,7.12,0%,40,2.00%,5000.0
chirping_birds,botanical_garden,7.89,0%,40,0.50%,5000.0
